Cities,avg_home_price
Atlanta,376544.33
Austin,375422.22
Boston,546100.0
Chicago,489644.44
Cincinnati,277311.11
Dallas,419166.67
Denver,527000.0
Detroit,154877.78
Honolulu,1018100.0
Houston,234854.11
Los Angeles,657871.89
Miami,536988.89
Minneapolis,308611.11
New Orleans,351333.33
New York,637777.56
Orlando,339211.11
Phoenix,408761.0
Portland,530555.44
Sacramento,412522.0
Salt Lake City,537098.89
San Diego,688744.44
San Francisco,1044654.22
San Jose,916611.0
Seattle,872661.0
Tucson,308433.33
